J	Kowalski, Damian; Kim, Doohun; Schmuki, Patrik								TiO2 nanotubes, nanochannels and mesosponge: Self-organized formation and applications								NANO TODAY				8	3			235	264		10.1016/j.nantod.2013.04.010			JUN 2013	2013										194							WOS:000322058800007		
J	Sivula, Kevin								Metal Oxide Photoelectrodes for Solar Fuel Production, Surface Traps, and Catalysis								JOURNAL OF PHYSICAL CHEMISTRY LETTERS				4	10			1624	1633		10.1021/jz4002983			MAY 16 2013	2013										194							WOS:000321793800008		
J	Wang, Gongming; Ling, Yichuan; Li, Yat								Oxygen-deficient metal oxide nanostructures for photoelectrochemical water oxidation and other applications								NANOSCALE				4	21			6682	6691		10.1039/c2nr32222f			NOV 7 2012	2012										194							WOS:000310940500001		
J	Marin, M. Luisa; Santos-Juanes, Lucas; Arques, Antonio; Amat, Ana M.; Miranda, Miguel A.								Organic Photocatalysts for the Oxidation of Pollutants and Model Compounds								CHEMICAL REVIEWS				112	3			1710	1750		10.1021/cr2000543			MAR 2012	2012										194							WOS:000301988700012		
J	Han, Hyungkyu; Song, Taeseup; Bae, Jae-Young; Nazar, Linda F.; Kim, Hansu; Paik, Ungyu								Nitridated TiO2 hollow nanofibers as an anode material for high power lithium ion batteries								ENERGY & ENVIRONMENTAL SCIENCE				4	11			4532	4536		10.1039/c1ee02333k			NOV 2011	2011										194							WOS:000296248100016		
J	Choi, Hyonkwang; Kim, Hyunkook; Hwang, Sookhyun; Han, Youngmoon; Jeon, Minhyon								Graphene counter electrodes for dye-sensitized solar cells prepared by electrophoretic deposition								JOURNAL OF MATERIALS CHEMISTRY				21	21			7548	7551		10.1039/c1jm11145k			2011	2011										194							WOS:000290670000004		
J	Chen, Qingwei; Xu, Dongsheng								Large-Scale, Noncurling, and Free-Standing Crystallized TiO2 Nanotube Arrays for Dye-Sensitized Solar Cells								JOURNAL OF PHYSICAL CHEMISTRY C				113	15			6310	6314		10.1021/jp900336e			APR 16 2009	2009										194							WOS:000265030200063		
J	Yu, JG; Zhou, MH; Cheng, B; Zhao, XJ								Preparation, characterization and photocatalytic activity of in situ N,S-codoped TiO2 powders								JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL				246	1-2			176	184		10.1016/j.molcata.2005.10.034			MAR 1 2006	2006										194							WOS:000236061800026		
J	Cameron, PJ; Peter, LM; Hore, S								How important is the back reaction of electrons via the substrate in dye-sensitized nanocrystalline solar cells?								JOURNAL OF PHYSICAL CHEMISTRY B				109	2			930	936		10.1021/jp0405759			JAN 20 2005	2005										194							WOS:000226313200039		
J	Zhou, ZB; Matsumoto, H; Tatsumi, K								Low-melting, low-viscous, hydrophobic ionic liquids: 1-alkyl(alkyl ether)-3-methylimidazolium perfluoroalkyltrifluoroborate								CHEMISTRY-A EUROPEAN JOURNAL				10	24			6581	6591		10.1002/chem.200400533			DEC 17 2004	2004										194							WOS:000225706900038		
J	Ciofini, I; Laine, PP; Bedioui, F; Adamo, C								Photoinduced intramolecular electron transfer in ruthenium and osmium polyads: Insights from theory								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				126	34			10763	10777		10.1021/ja0482278			SEP 1 2004	2004										194							WOS:000223559100058		
J	Chowdhury, PK; Halder, M; Sanders, L; Calhoun, T; Anderson, JL; Armstrong, DW; Song, X; Petrich, JW								Dynamic solvation in room-temperature ionic liquids								JOURNAL OF PHYSICAL CHEMISTRY B				108	29			10245	10255		10.1021/jp0376828			JUL 22 2004	2004										194							WOS:000222763000006		
J	Varghese, OK; Grimes, CA								Metal oxide nanoarchitectures for environmental sensing								JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY				3	4			277	293		10.1166/jnn.2003.158			AUG 2003	2003						10th Foresight Conference on Molecular Nanotechnology	OCT 11-13, 2002		WASHINGTON, D.C.	194							WOS:000185818800002		
J	Kominami, H; Murakami, S; Kato, J; Kera, Y; Ohtani, B								Correlation between some physical properties of titanium dioxide particles and their photocatalytic activity for some probe reactions in aqueous systems								JOURNAL OF PHYSICAL CHEMISTRY B				106	40			10501	10507		10.1021/jp0147224			OCT 10 2002	2002										194							WOS:000178506900031		
J	Kumara, GRRA; Konno, A; Senadeera, GKR; Jayaweera, PVV; De Silva, DBRA; Tennakone, K								Dye-sensitized solar cell with the hole collector p-CuSCN deposited from a solution in n-propyl sulphide								SOLAR ENERGY MATERIALS AND SOLAR CELLS				69	2			195	199		10.1016/S0927-0248(01)00027-7			SEP 2001	2001										194							WOS:000169616700011		
J	Nguyen, KA; Pachter, R								Ground state electronic structures and spectra of zinc complexes of porphyrin, tetraazaporphyrin, tetrabenzoporphyrin, and phthalocyanine: A density functional theory study								JOURNAL OF CHEMICAL PHYSICS				114	24			10757	10767		10.1063/1.1370064			JUN 22 2001	2001										194							WOS:000169224900025		
J	Wang, ZL; Gao, RP; Nikoobakht, B; El-Sayed, MA								Surface reconstruction of the unstable {110} surface in gold nanorods								JOURNAL OF PHYSICAL CHEMISTRY B				104	23			5417	5420		10.1021/jp000800w			JUN 15 2000	2000										194							WOS:000087779300005		
J	Peter, LM; Wijayantha, KGU								Electron transport and back reaction in dye sensitised nanocrystalline photovoltaic cells								ELECTROCHIMICA ACTA				45	28			4543	4551		10.1016/S0013-4686(00)00605-8			2000	2000						1st Gerischer Symposium on Semiconductor Electrochemistry	JUN 23-25, 1999	Max Planck Gesess	FRITZ HABER INST, BERLIN, GERMANY	194							WOS:000165357300002		
J	Connor, PA; Dobson, KD; McQuillan, AJ								Infrared spectroscopy of the TiO2/aqueous solution interface								LANGMUIR				15	7			2402	2408		10.1021/la980855d			MAR 30 1999	1999										194							WOS:000079541000025		
J	Katakis, I; Dominguez, E								Catalytic electrooxidation of NADH for dehydrogenase amperometric biosensors								MIKROCHIMICA ACTA				126	1-2			11	32		10.1007/BF01242656			1997	1997										194							WOS:A1997WU28700002		
J	Sauer, ML; Ollis, DF								Photocatalyzed oxidation of ethanol and acetaldehyde in humidified air								JOURNAL OF CATALYSIS				158	2			570	582		10.1006/jcat.1996.0055			FEB 1996	1996										194							WOS:A1996TU67000018		
J	WHITTEN, DG								PHOTOCHEMISTRY AND PHOTOPHYSICS OF TRANS-STILBENE AND RELATED ALKENES IN SURFACTANT ASSEMBLIES								ACCOUNTS OF CHEMICAL RESEARCH				26	9			502	509		10.1021/ar00033a008			SEP 1993	1993										194							WOS:A1993LX34100008		
J	KALYANASUNDARAM, K								PHOTOPHYSICS OF MOLECULES IN MICELLE-FORMING SURFACTANT SOLUTIONS								CHEMICAL SOCIETY REVIEWS				7	4			453	472		10.1039/cs9780700453			1978	1978										194							WOS:A1978GR02300002		
J	ZACHARIASSE, KA								INTRA-MOLECULAR EXCIMER FORMATION WITH DIARYLALKANES AS A MICROFLUIDITY PROBE FOR SODIUM DODECYL-SULFATE MICELLES								CHEMICAL PHYSICS LETTERS				57	3			429	432		10.1016/0009-2614(78)85541-9			1978	1978										194							WOS:A1978FM51300025		
J	Jung, Jae Woong; Chueh, Chu-Chen; Jen, Alex K. -Y.								A Low-Temperature, Solution-Processable, Cu-Doped Nickel Oxide Hole-Transporting Layer via the Combustion Method for High-Performance Thin-Film Perovskite Solar Cells								ADVANCED MATERIALS				27	47			7874	7880		10.1002/adma.201503298			DEC 16 2015	2015										193							WOS:000367837900025		
J	Lan, Xinzheng; Masala, Silvia; Sargent, Edward H.								Charge-extraction strategies for colloidal quantum dot photovoltaics								NATURE MATERIALS				13	3			233	240		10.1038/NMAT3816			MAR 2014	2014										193							WOS:000331945200015		
J	Tueysuez, Harun; Hwang, Yun Jeong; Khan, Sher Bahadar; Asiri, Abdullah Mohamed; Yang, Peidong								Mesoporous Co3O4 as an electrocatalyst for water oxidation								NANO RESEARCH				6	1			47	54		10.1007/s12274-012-0280-8			JAN 2013	2013										193							WOS:000313658800006		
J	Yin, Zhigang; Zheng, Qingdong								Controlled Synthesis and Energy Applications of One-Dimensional Conducting Polymer Nanostructures: An Overview								ADVANCED ENERGY MATERIALS				2	2			179	218		10.1002/aenm.201100560			FEB 2012	2012										193							WOS:000300449600002		
J	Perkin, Susan								Ionic liquids in confined geometries								PHYSICAL CHEMISTRY CHEMICAL PHYSICS				14	15			5052	5062		10.1039/c2cp23814d			2012	2012										193							WOS:000301957900005		
J	Brown, Patrick R.; Lunt, Richard R.; Zhao, Ni; Osedach, Timothy P.; Wanger, Darcy D.; Chang, Liang-Yi; Bawendi, Moungi G.; Bulovic, Vladimir								Improved Current Extraction from ZnO/PbS Quantum Dot Heterojunction Photovoltaics Using a MoO3 Interfacial Layer								NANO LETTERS				11	7			2955	2961		10.1021/nl201472u			JUL 2011	2011										193							WOS:000292849400067		
J	Jiang, Zhi-Yuan; Kuang, Qin; Xie, Zhao-Xiong; Zheng, Lan-Sun								Syntheses and Properties of Micro/Nanostructured Crystallites with High-Energy Surfaces								ADVANCED FUNCTIONAL MATERIALS				20	21			3634	3645		10.1002/adfm.201001243			NOV 9 2010	2010										193							WOS:000283999900003		
J	Friedmann, Donia; Mendive, Cecilia; Bahnemann, Detlef								TiO2 for water treatment: Parameters affecting the kinetics and mechanisms of photocatalysis								APPLIED CATALYSIS B-ENVIRONMENTAL				99	3-4			398	406		10.1016/j.apcatb.2010.05.014			SEP 9 2010	2010										193							WOS:000283015000004		
J	Michen, B.; Graule, T.								Isoelectric points of viruses								JOURNAL OF APPLIED MICROBIOLOGY				109	2			388	397		10.1111/j.1365-2672.2010.04663.x			AUG 2010	2010										193							WOS:000279733700002		
J	Hodes, Gary								When small is different: Some recent advances in concepts and applications of nanoscale phenomena								ADVANCED MATERIALS				19	5			639	655		10.1002/adma.200601173			MAR 5 2007	2007										193							WOS:000245112100002		
J	Kiwi, J; Nadtochenko, V								Evidence for the mechanism of photocatalytic degradation of the bacterial wall membrane at the TiO2 interface by ATR-FTIR and laser kinetic spectroscopy								LANGMUIR				21	10			4631	4641		10.1021/la046983l			MAY 10 2005	2005										193							WOS:000228983700055		
J	Liu, SX; Qu, ZP; Han, XW; Sun, CL								A mechanism for enhanced photocatalytic activity of silver-loaded titanium dioxide								CATALYSIS TODAY				93-5				877	884		10.1016/j.cattod.2004.06.097			SEP 1 2004	2004						3rd Asia-Pacific Congress on Catalysis	OCT 12-15, 2003		Dalian, PEOPLES R CHINA	193							WOS:000223973200126		
J	Wei, GT; Yang, ZS; Lee, CY; Yang, HY; Wang, CRC								Aqueous-organic phase transfer of gold nanoparticles and gold nanorods using an ionic liquid								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				126	16			5036	5037		10.1021/ja039874m			APR 28 2004	2004										193							WOS:000220957900009		
J	Lee, BS; Chi, YS; Lee, JK; Choi, IS; Song, CE; Namgoong, SK; Lee, SG								Imidazolium ion-terminated self-assembled monolayers on Au: Effects of counteranions on surface wettability								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				126	2			480	481		10.1021/ja038405h			JAN 21 2004	2004										193							WOS:000188197800036		
J	Nakamura, R; Imanishi, A; Murakoshi, K; Nakato, Y								In situ FTIR studies of primary intermediates of photocatalytic reactions on nanocrystalline TiO2 films in contact with aqueous solutions								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				125	24			7443	7450		10.1021/ja029503q			JUN 18 2003	2003										193							WOS:000183503500054		
J	Molinari, R; Palmisano, L; Drioli, E; Schiavello, M								Studies on various reactor configurations for coupling photocatalysis and membrane processes in water purification								JOURNAL OF MEMBRANE SCIENCE				206	1-2			399	415	PII S0376-7388(01)00785-2	10.1016/S0376-7388(01)00785-2			AUG 31 2002	2002										193							WOS:000176852500032		
J	Karmakar, R; Samanta, A								Steady-state and time-resolved fluorescence behavior of C153 and PRODAN in room-temperature ionic liquids								JOURNAL OF PHYSICAL CHEMISTRY A				106	28			6670	6675		10.1021/jp0143591			JUL 18 2002	2002										193							WOS:000176848900019		
J	Dzyuba, SV; Bartsch, RA								Expanding the polarity range of ionic liquids								TETRAHEDRON LETTERS				43	26			4657	4659	PII S0040-4039(02)00858-4	10.1016/S0040-4039(02)00858-4			JUN 24 2002	2002										193							WOS:000176282000022		
J	Mano, N; Kim, HH; Zhang, YC; Heller, A								An oxygen cathode operating in a physiological solution								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				124	22			6480	6486		10.1021/ja025874v			JUN 5 2002	2002										193							WOS:000175954800041		
J	Barton, SC; Kim, HH; Binyamin, G; Zhang, YC; Heller, A								The "wired" laccase cathode: High current density electroreduction of O-2 to water at+0.7 V (NHE) at pH 5								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				123	24			5802	5803		10.1021/ja010408b			JUN 20 2001	2001										193							WOS:000169338400025		
J	Ghindilis, AL; Atanasov, P; Wilkins, M; Wilkins, E								Immunosensors: Electrochemical sensing and other engineering approaches								BIOSENSORS & BIOELECTRONICS				13	1			113	131		10.1016/S0956-5663(97)00031-6			JAN 1 1998	1998										193							WOS:000072378300013		
J	Butt, HJ								A sensitive method to measure changes in the surface stress of solids								JOURNAL OF COLLOID AND INTERFACE SCIENCE				180	1			251	260		10.1006/jcis.1996.0297			JUN 1 1996	1996										193							WOS:A1996UP55100032		
J	Mandler, D; Turyan, I								Applications of self-assembled monolayers in electroanalytical chemistry								ELECTROANALYSIS				8	3			207	213		10.1002/elan.1140080302			MAR 1996	1996										193							WOS:A1996UC54700001		
J	SERPONE, N; TERZIAN, R; HIDAKA, H; PELIZZETTI, E								ULTRASONIC INDUCED DEHALOGENATION AND OXIDATION OF 2-CHLOROPHENOL, 3-CHLOROPHENOL, AND 4-CHLOROPHENOL IN AIR-EQUILIBRATED AQUEOUS-MEDIA - SIMILARITIES WITH IRRADIATED SEMICONDUCTOR PARTICULATES								JOURNAL OF PHYSICAL CHEMISTRY				98	10			2634	2640		10.1021/j100061a021			MAR 10 1994	1994										193							WOS:A1994NA04600021		
J	ATIK, SS; THOMAS, JK								TRANSPORT OF PHOTOPRODUCED IONS IN WATER IN OIL MICRO-EMULSIONS - MOVEMENT OF IONS FROM ONE WATER POOL TO ANOTHER								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				103	12			3543	3550		10.1021/ja00402a048			1981	1981										193							WOS:A1981LT87400048		
J	PICHAT, P; HERRMANN, JM; DISDIER, J; COURBON, H; MOZZANEGA, MN								PHOTOCATALYTIC HYDROGEN-PRODUCTION FROM ALIPHATIC-ALCOHOLS OVER A BIFUNCTIONAL PLATINUM ON TITANIUM-DIOXIDE CATALYST								NOUVEAU JOURNAL DE CHIMIE-NEW JOURNAL OF CHEMISTRY				5	12			627	636					1981	1981										193							WOS:A1981NA21100007		
J	MEISEL, D; NETA, P								ONE-ELECTRON REDOX POTENTIALS OF NITRO-COMPOUNDS AND RADIOSENSITIZERS - CORRELATION WITH SPIN-DENSITIES OF THEIR RADICAL-ANIONS								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				97	18			5198	5203		10.1021/ja00851a029			1975	1975										193							WOS:A1975AP07200029		
J	Jiang, Chaoran; Moniz, Savio J. A.; Wang, Aiqin; Zhang, Tao; Tang, Junwang								Photoelectrochemical devices for solar water splitting - materials and challenges								CHEMICAL SOCIETY REVIEWS				46	15			4645	4660		10.1039/c6cs00306k			AUG 7 2017	2017										192							WOS:000406613800012		
J	Abu Laban, Waleed; Etgar, Lioz								Depleted hole conductor-free lead halide iodide heterojunction solar cells								ENERGY & ENVIRONMENTAL SCIENCE				6	11			3249	3253		10.1039/c3ee42282h			NOV 2013	2013										192							WOS:000325946400012		
J	Santra, Pralay K.; Kamat, Prashant V.								Tandem-Layered Quantum Dot Solar Cells: Tuning the Photovoltaic Response with Luminescent Ternary Cadmium Chalcogenides								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				135	2			877	885		10.1021/ja310737m			JAN 16 2013	2013										192							WOS:000313920800058		
J	Zhang, Renyuan; Elzatahry, Ahmed A.; Al-Deyab, Salem S.; Zhao, Dongyuan								Mesoporous titania: From synthesis to application								NANO TODAY				7	4			344	366		10.1016/j.nantod.2012.06.012			AUG 2012	2012										192							WOS:000309249500013		
J	Cui, Yan; Wu, Yongzhen; Lu, Xuefeng; Zhang, Xi; Zhou, Gang; Miapeh, Fohn B.; Zhu, Weihong; Wang, Zhong-Sheng								Incorporating Benzotriazole Moiety to Construct D-A-pi-A Organic Sensitizers for Solar Cells: Significant Enhancement of Open-Circuit Photovoltage with Long Alkyl Group								CHEMISTRY OF MATERIALS				23	19			4394	4401		10.1021/cm202226j			OCT 11 2011	2011										192							WOS:000295487800015		
J	Wang, Bing; Wang, Yaochuan; Hua, Jianli; Jiang, Yihua; Huang, Jinhai; Qian, Shixiong; Tian, He								Starburst Triarylamine Donor-Acceptor-Donor Quadrupolar Derivatives Based on Cyano-Substituted Diphenylaminestyrylbenzene: Tunable Aggregation-Induced Emission Colors and Large Two-Photon Absorption Cross Sections								CHEMISTRY-A EUROPEAN JOURNAL				17	9			2647	2655		10.1002/chem.201002821			FEB 2011	2011										192							WOS:000288097600016		
J	Axenov, Kirill V.; Laschat, Sabine								Thermotropic Ionic Liquid Crystals								MATERIALS				4	1			206	259		10.3390/ma4010206			JAN 2011	2011										192							WOS:000298243400014		
J	Richter, Christiaan; Schmuttenmaer, Charles A.								Exciton-like trap states limit electron mobility in TiO2 nanotubes								NATURE NANOTECHNOLOGY				5	11			769	772		10.1038/NNANO.2010.196			NOV 2010	2010										192							WOS:000283847800010		
J	Lei, Bing-Xin; Liao, Jin-Yun; Zhang, Ran; Wang, Jing; Su, Cheng-Yong; Kuang, Dai-Bin								Ordered Crystalline TiO2 Nanotube Arrays on Transparent FTO Glass for Efficient Dye-Sensitized Solar Cells								JOURNAL OF PHYSICAL CHEMISTRY C				114	35			15228	15233		10.1021/jp105780v			SEP 9 2010	2010										192							WOS:000284520100083		
J	Liu, Dawei; Cao, Guozhong								Engineering nanostructured electrodes and fabrication of film electrodes for efficient lithium ion intercalation								ENERGY & ENVIRONMENTAL SCIENCE				3	9			1218	1237		10.1039/b922656g			SEP 2010	2010										192							WOS:000282334000007		
J	Lee, Kun-Mu; Hu, Chih-Wei; Chen, Hsin-Wei; Ho, Kuo-Chuan								Incorporating carbon nanotube in a low-temperature fabrication process for dye-sensitized TiO2 solar cells								SOLAR ENERGY MATERIALS AND SOLAR CELLS				92	12			1628	1633		10.1016/j.solmat.2008.07.012			DEC 2008	2008						International Materials Research Congress (IMRC)	OCT 28-NOV 01, 2007		Cancun, MEXICO	192							WOS:000260884400014		
J	Froeba, Andreas P.; Kremer, Heiko; Leipertz, Alfred								Density, refractive index, interfacial tension, and viscosity of ionic liquids [EMIM][EtSO4], [EMIM][NTf2], [EMIM][N(CN)(2)], and [OMA][NTf2] in dependence on temperature at atmospheric pressure								JOURNAL OF PHYSICAL CHEMISTRY B				112	39			12420	12430		10.1021/jp804319a			OCT 2 2008	2008										192							WOS:000259552000034		
J	Ho, Cheuk-Lam; Wong, Wai-Yeung; Gao, Zhi-Qiang; Chen, Chin-Hsin; Cheah, Kok-Wai; Yao, Bing; Xie, Zhiyuan; Wang, Qi; Ma, Dongge; Wang, Lixiang; Yu, Xiao-Ming; Kwok, Hoi-Sing; Lin, Zhenyang								Red-light-emitting iridium complexes with hole-transporting 9-arylcarbazole moieties for electrophosphorescence efficiency/color purity trade-off optimizationE								ADVANCED FUNCTIONAL MATERIALS				18	2			319	331		10.1002/adfm.200700665			JAN 24 2008	2008										192							WOS:000252920600018		
J	Goodey, Adrian P.; Eichfeld, Sarah M.; Lew, Kok-Keong; Redwing, Joan M.; Mallouk, Thomas E.								Silicon nanowire array photoelectrochemical cells								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				129	41			12344	+		10.1021/ja073125d			OCT 17 2007	2007										192							WOS:000250105500002		
J	Zhang, Yong-Gang; Ma, Li-Li; Li, Jia-Lin; Yu, Ying								In situ Fenton reagent generated from TiO2/Cu2O composite film: A new way to utilize TiO2 under visible light irradiation								ENVIRONMENTAL SCIENCE & TECHNOLOGY				41	17			6264	6269		10.1021/es070345i			SEP 1 2007	2007										192							WOS:000249240100060		
J	Himeda, Yuichiro; Onozawa-Komatsuzaki, Nobuko; Sugihara, Hideki; Kasuga, Kazuyuki								Simultaneous tuning of activity and water solubility of complex catalysts by acid-base equilibrium of ligands for conversion of carbon dioxide								ORGANOMETALLICS				26	3			702	712		10.1021/om060899e			JAN 29 2007	2007										192							WOS:000243577000033		
J	Kitano, Masaaki; Funatsu, Keisho; Matsuoka, Masaya; Ueshima, Michio; Anpo, Masakazu								Preparation of nitrogen-substituted TiO2 thin film photocatalysts by the radio frequency magnetron sputtering deposition method and their photocatalytic reactivity under visible light irradiation								JOURNAL OF PHYSICAL CHEMISTRY B				110	50			25266	25272		10.1021/jp064893e			DEC 21 2006	2006										192							WOS:000242825400017		
J	Hattori, S; Wada, Y; Yanagida, S; Fukuzumi, S								Blue copper model complexes with distorted tetragonal geometry acting as effective electron-transfer mediators in dye-sensitized solar cells								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				127	26			9648	9654		10.1021/ja0506814			JUL 6 2005	2005										192							WOS:000230220900068		
J	Fedurco, M								Redox reactions of heme-containing metalloproteins: dynamic effects of self-assembled monolayers on thermodynamics and kinetics of cytochrome c electron-transfer reactions								COORDINATION CHEMISTRY REVIEWS				209				263	331		10.1016/S0010-8545(00)00292-7			NOV 2000	2000										192							WOS:000165573900008		
J	ENGEBRETSON, RR; VONWANDRUSZKA, R								MICROORGANIZATION IN DISSOLVED HUMIC ACIDS								ENVIRONMENTAL SCIENCE & TECHNOLOGY				28	11			1934	1941		10.1021/es00060a026			OCT 1994	1994										192							WOS:A1994PK06900030		
J	THOMAS, JM								TURNING-POINTS IN CATALYSIS								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				33	9			913	937		10.1002/anie.199409131			MAY 18 1994	1994										192							WOS:A1994NM38400001		
J	PARK, JY; LEE, YN								SOLUBILITY AND DECOMPOSITION KINETICS OF NITROUS-ACID IN AQUEOUS-SOLUTION								JOURNAL OF PHYSICAL CHEMISTRY				92	22			6294	6302		10.1021/j100333a025			NOV 3 1988	1988										192							WOS:A1988Q925700025		
J	ABUIN, EB; SCAIANO, JC								EXPLORATORY-STUDY OF THE EFFECT OF POLY-ELECTROLYTE SURFACTANT AGGREGATES ON PHOTOCHEMICAL BEHAVIOR								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				106	21			6274	6283		10.1021/ja00333a028			1984	1984										192							WOS:A1984TN44500028		
J	Wenderich, Kasper; Mul, Guido								Methods, Mechanism, and Applications of Photodeposition in Photocatalysis: A Review								CHEMICAL REVIEWS				116	23			14587	14619		10.1021/acs.chemrev.6b00327			DEC 14 2016	2016										191							WOS:000389962700006		
J	Wu, Wu-Qiang; Xu, Yang-Fan; Rao, Hua-Shang; Su, Cheng-Yong; Kuang, Dai-Bin								Multistack Integration of Three-Dimensional Hyperbranched Anatase Titania Architectures for High-Efficiency Dye-Sensitized Solar Cells								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				136	17			6437	6445		10.1021/ja5015635			APR 30 2014	2014										191							WOS:000335369200048		
J	He, Ming; Zheng, Dajiang; Wang, Mengye; Lin, Changjian; Lin, Zhiqun								High efficiency perovskite solar cells: from complex nanostructure to planar heterojunction								JOURNAL OF MATERIALS CHEMISTRY A				2	17			5994	6003		10.1039/c3ta14160h			2014	2014										191							WOS:000333580700005		
J	Schrauben, Joel N.; Hayoun, Rebecca; Valdez, Carolyn N.; Braten, Miles; Fridley, Lila; Mayer, James M.								Titanium and Zinc Oxide Nanoparticles Are Proton-Coupled Electron Transfer Agents								SCIENCE				336	6086			1298	1301		10.1126/science.1220234			JUN 8 2012	2012										191							WOS:000304905300044		
J	Jacquemin, Denis; Le Bahers, Tangui; Adamo, Carlo; Ciofini, Ilaria								What is the "best" atomic charge model to describe through-space charge-transfer excitations?								PHYSICAL CHEMISTRY CHEMICAL PHYSICS				14	16			5383	5388		10.1039/c2cp40261k			2012	2012										191							WOS:000302062200007		
J	Chou, Pi-Tai; Chi, Yun; Chung, Min-Wen; Lin, Chao-Chen								Harvesting luminescence via harnessing the photophysical properties of transition metal complexes								COORDINATION CHEMISTRY REVIEWS				255	21-22			2653	2665		10.1016/j.ccr.2010.12.013			NOV 2011	2011										191							WOS:000295768600016		
J	Etacheri, Vinodkumar; Seery, Michael K.; Hinder, Steven J.; Pillai, Suresh C.								Oxygen Rich Titania: A Dopant Free, High Temperature Stable, and Visible-Light Active Anatase Photocatalyst								ADVANCED FUNCTIONAL MATERIALS				21	19			3744	3752		10.1002/adfm.201100301			OCT 7 2011	2011										191							WOS:000295224900018		
J	Shi, Jian; Hara, Yukihiro; Sun, Chengliang; Anderson, Marc A.; Wang, Xudong								Three-Dimensional High-Density Hierarchical Nanowire Architecture for High-Performance Photoelectrochemical Electrodes								NANO LETTERS				11	8			3413	3419		10.1021/nl201823u			AUG 2011	2011										191							WOS:000293665600061		
J	Kruse, Norbert; Chenakin, Sergey								XPS characterization of Au/TiO2 catalysts: Binding energy assessment and irradiation effects								APPLIED CATALYSIS A-GENERAL				391	1-2			367	376		10.1016/j.apcata.2010.05.039			JAN 4 2011	2011										191							WOS:000286856600045		
J	Viriya-empikul, N.; Krasae, P.; Puttasawat, B.; Yoosuk, B.; Chollacoop, N.; Faungnawakij, K.								Waste shells of mollusk and egg as biodiesel production catalysts								BIORESOURCE TECHNOLOGY				101	10			3765	3767		10.1016/j.biortech.2009.12.079			MAY 2010	2010										191							WOS:000275563200067		
J	Wasylenko, Derek J.; Ganesamoorthy, Chelladurai; Koivisto, Bryan D.; Henderson, Matthew A.; Berlinguette, Curtis P.								Insight into Water Oxidation by Mononuclear Polypyridyl Ru Catalysts								INORGANIC CHEMISTRY				49	5			2202	2209		10.1021/ic902024s			MAR 1 2010	2010										191							WOS:000274626200025		
J	Green, Mark								The nature of quantum dot capping ligands								JOURNAL OF MATERIALS CHEMISTRY				20	28			5797	5809		10.1039/c0jm00007h			2010	2010										191							WOS:000279565900003		
J	Wu, Shuisheng; Cao, Huaqiang; Yin, Shuangfeng; Liu, Xiangwen; Zhang, Xinrong								Amino Acid-Assisted Hydrothermal Synthesis and Photocatalysis of SnO2 Nanocrystals								JOURNAL OF PHYSICAL CHEMISTRY C				113	41			17893	17898		10.1021/jp9068762			OCT 15 2009	2009										191							WOS:000270459900045		
J	Wu, Yusong; Sasaki, Takashi; Irie, Satoshi; Sakurai, Kensuke								A novel biomass-ionic liquid platform for the utilization of native chitin								POLYMER				49	9			2321	2327		10.1016/j.polymer.2008.03.027			APR 29 2008	2008										191							WOS:000255923200017		
J	Lungwitz, Ralf; Spange, Stefan								A hydrogen bond accepting (HBA) scale for anions, including room temperature ionic liquids								NEW JOURNAL OF CHEMISTRY				32	3			392	394		10.1039/b714629a			2008	2008										191							WOS:000253751700003		
J	Lutkenhaus, Jodie L.; Hammond, Paula T.								Electrochemically enabled polyelectrolyte multilayer devices: from fuel cells to sensors								SOFT MATTER				3	7			804	816		10.1039/b701203a			2007	2007										191							WOS:000247367400002		
J	Wang, Jiaobing; Qian, Xuhong								A series of polyamide receptor based PET fluorescent sensor molecules: Positively cooperative Hg2+ ion binding with high sensitivity								ORGANIC LETTERS				8	17			3721	3724		10.1021/ol061297u			AUG 17 2006	2006										191							WOS:000239655500026		
J	Feng, P; Wan, Q; Wang, TH								Contact-controlled sensing properties of flowerlike ZnO nanostructures								APPLIED PHYSICS LETTERS				87	21					213111	10.1063/1.2135391			NOV 21 2005	2005										191							WOS:000233362300078		
J	Meilert, KT; Laub, D; Kiwi, J								Photocatalytic self-cleaning of modified cotton textiles by TiO2 clusters attached by chemical spacers								JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL				237	1-2			101	108		10.1016/j.molcata.2005.03.040			AUG 2 2005	2005										191							WOS:000230713100013		
